6CH9,102601,1000000,5
6CH9-6CH8,1655,1000000,5
6CH9-6CZ8,16227,1000000,5
6CM0,39795,1000000,5
6CM0-6CH0,38190,1000000,5
6CF8,1183,1000000,5
6CM1,2010,1000000,5
6CM1-6CH1,74966,1000000,5
6CM2,193340,1000000,5
6CM2-6CH2,193252,1000000,5
6CM8,174997,1000000,5
6CM8-6CZ7,193211,1000000,5
6CM9,10209,1000000,5
6CM9-6CH9,2149,1000000,5
6CU0,6354,1000000,5
6CU0-6CM0,21170,1000000,5
6CF8-6CV7,1735,1000000,5
6CF8-6CX7,6760,1000000,5
6CF8-6CZ7,3140,1000000,1
6CH0,24683,1000000,5
6CH0-6CZ9,262135,1000000,5
6CM8-6CF8,9820,1000000,5
6CM8-6CH8,172830,1000000,5
6CM8-6CV7,79699,1000000,5
6CM8-6CX7,5607,1000000,5
6CH1,7276,1000000,5
6CH1-6CZ0,1481,1000000,5
6CH2,20787,1000000,5
6CH2-6CZ1,23390,1000000,5
06EV7,5013,1000000,5
06EX7,3728,1000000,5
06EZ7,9989,1000000,5
16EF8,27197,10000000,1
16EV7,27581,10000000,1
6CH8,174469,1000000,5
16EX7,691,10000000,1
16EZ7,1704,10000000,1
36EH8,1660,10000000,1
36EM8,24008,10000000,1
36EZ7,6497,10000000,1
6CH8-6CF8,8752,1000000,5
6CH8-6CV7,78807,1000000,5
6CH8-6CX7,5136,1000000,5
6CH8-6CZ7,172828,1000000,5
CHLH8-CHLZ7,61322,10000000,1
CHLH9,212178,10000000,1
CHLU8,16266,10000000,1
ECKH8-ECKZ7,44240,10000000,1
6CZ8-6CZ7,193218,1000000,5
6CZ9,8075,1000000,5
6CZ9-6CU9,41970,1000000,5
6EF8,153785,1000000,5
6LF8-6LZ7,93747,1000000,5
6LF9,59160,1000000,5
6LG0,24440,1000000,5
6LG1,96920,1000000,5
6LG2,119348,1000000,5
6MM8,217554,100000000,1
6MM8-6MH8,132968,100000000,1
6MN8,11018,100000000,1
6MN8-6MJ8,4707,100000000,1
AJYU8,29502,10000000,1
AJYZ7,74839,10000000,1
AJYZ8,11345,10000000,1
ANEH8,244538,10000000,1
ANEH8-ANEZ7,32653,1000000,5
CHLJ8,86216,10000000,1
CHLU8-CHLM8,127426,10000000,1
CHLU9,7601,10000000,1
6EF8-6EV7,3859,1000000,5
6EF8-6EX7,101378,1000000,5
6EF8-6EZ7,96011,1000000,1
6EH0,56340,1000000,5
6LG8,50010,1000000,5
6LG8-6LX7,284958,1000000,5
